Termino;Definicion;Ejemplos;Prioridad;Dominio
CIA_Triad;;;ALTA;Conceptos Generales de Seguridad
AAA;;;ALTA;Conceptos Generales de Seguridad
Zero_Trust;;;ALTA;Conceptos Generales de Seguridad
Defense_in_Depth;;;ALTA;Conceptos Generales de Seguridad
Security_Control_Types;;;ALTA;Conceptos Generales de Seguridad
Security_Control_Categories;;;ALTA;Conceptos Generales de Seguridad
AES;;;ALTA;Conceptos Generales de Seguridad
RSA;;;ALTA;Conceptos Generales de Seguridad
DHE;;;ALTA;Conceptos Generales de Seguridad
Hashing;;;ALTA;Conceptos Generales de Seguridad
SHA;;;ALTA;Conceptos Generales de Seguridad
Digital_Signature;;;ALTA;Conceptos Generales de Seguridad
DSA;;;ALTA;Conceptos Generales de Seguridad
ECDSA;;;ALTA;Conceptos Generales de Seguridad
PKI;;;ALTA;Conceptos Generales de Seguridad
Certificate;;;ALTA;Conceptos Generales de Seguridad
CA;;;ALTA;Conceptos Generales de Seguridad
OCSP;;;ALTA;Conceptos Generales de Seguridad
TPM;;;ALTA;Conceptos Generales de Seguridad
FDE;;;ALTA;Conceptos Generales de Seguridad
WPA2_WPA3;;;ALTA;Conceptos Generales de Seguridad
SAE;;;ALTA;Conceptos Generales de Seguridad
802.1X;;;ALTA;Conceptos Generales de Seguridad
MDM;;;ALTA;Conceptos Generales de Seguridad
DKIM;;;ALTA;Conceptos Generales de Seguridad
DMARC;;;ALTA;Conceptos Generales de Seguridad
SPF;;;ALTA;Conceptos Generales de Seguridad
OpenID_Connect;;;ALTA;Conceptos Generales de Seguridad
SAML_Features;;;ALTA;Conceptos Generales de Seguridad
Biometrics_Types;;;ALTA;Conceptos Generales de Seguridad
Hardware_Tokens;;;ALTA;Conceptos Generales de Seguridad
Security_Key;;;ALTA;Conceptos Generales de Seguridad
Password_Policies;;;ALTA;Conceptos Generales de Seguridad
OTP;;;ALTA;Conceptos Generales de Seguridad
Just_in_Time_Permissions;;;ALTA;Conceptos Generales de Seguridad
SHA_3;;;ALTA;Conceptos Generales de Seguridad
Digital_Certificate;;;ALTA;Conceptos Generales de Seguridad
Vishing;;;ALTA;Conceptos Generales de Seguridad
Pharming;;;ALTA;Conceptos Generales de Seguridad
MSSP;;;ALTA;Conceptos Generales de Seguridad
STARTTLS;;;ALTA;Conceptos Generales de Seguridad
CCMP;;;ALTA;Conceptos Generales de Seguridad
Password_Manager;;;ALTA;Conceptos Generales de Seguridad
